topic_id,topic_n,ru_slug,cluster,intent,catalog_priority,wave_action,target_locale,kk_scope,word_target,page_type,risk,notes
blog_072,72,kak-ne-isportit-tovar-pri-zamene-fona,background / cleanup,how-to,P1,later,P1,"ru,en",later,1000,blog,ok,Accuracy — kk optional
blog_073,73,kak-podgotovit-foto-s-plohim-fonom,background / cleanup,how-to,P1,later,P1,"ru,en",no,900,blog,ok,Bad source
blog_075,75,product-shot-ili-odezhda-na-modeli,comparison,comparison,P1,write_now,WAVE2,"ru,en",no,1100,blog,ok,Compare table — Wave 2
blog_076,76,belyy-fon-ili-kreativnaya-scena,comparison,comparison,P1,later,P1,"ru,en",no,900,blog,ok,Overlap #66
blog_077,77,ai-model-ili-realnaya-model,comparison,comparison,P1,write_now,WAVE2,"ru,en",no,1100,blog,ok,Fashion compare — Wave 2
blog_078,78,tochnaya-kartochka-ili-kreativnaya-scena,comparison,comparison,P1,later,P1,"ru,en",no,900,blog,ok,Intent split
blog_079,79,foto-tovara-ili-video-tovara,comparison,comparison,P1,later,P1,"ru,en",no,900,blog,ok,Video honest
blog_080,80,ruchnoe-vydelenie-ili-avtoudalenie-fona,comparison,comparison,P1,later,P1,"ru,en",no,900,blog,ok,Studio feature
blog_081,81,chto-luchshe-1-1-ili-4-5,comparison,comparison,P2,drop,DROP,"ru,en",no,0,blog,thin_format_duplicate,Merge to formats hub
blog_082,82,chto-luchshe-instagram-foto-ili-reels,comparison,comparison,P2,later,P2,"ru,en",no,850,blog,ok,After #47 live
blog_083,83,pochemu-raznye-ploshchadki-trebuyut-formaty,comparison,informational,P2,drop,DROP,"ru,en",no,0,blog,thin_format_duplicate,Section in #51
blog_084,84,kak-prodavat-na-raznyh-marketpleysah,localization / international sellers,informational,P2,later,P2,"ru,en",no,900,blog,low_cis_priority,International P3
blog_085,85,foto-dlya-zarubezhnogo-rynka,localization / international sellers,how-to,P2,later,P2,"ru,en",no,900,blog,low_cis_priority,International P3
blog_086,86,katalog-na-neskolkih-yazykah,localization / international sellers,how-to,P2,later,P2,"ru,en",no,900,blog,low_cis_priority,i18n ops
blog_087,87,adaptirovat-kartochku-dlya-ebay,localization / international sellers,platform,P2,later,P2,"ru,en",no,850,blog,thin_duplicate_platform_lp,After #34
blog_088,88,adaptirovat-kartochku-dlya-amazon,localization / international sellers,platform,P2,later,P2,"ru,en",no,850,blog,thin_duplicate_platform_lp,After #35
blog_089,89,adaptirovat-foto-dlya-etsy,localization / international sellers,platform,P2,later,P2,"ru,en",no,850,blog,thin_duplicate_platform_lp,After #36
blog_090,90,visual-dlya-shopify,localization / international sellers,platform,P2,later,P2,"ru,en",no,850,blog,thin_duplicate_platform_lp,EN-first
blog_091,91,foto-dlya-lokalnogo-marketpleysa,localization / international sellers,how-to,P2,later,P2,"ru,en",later,900,blog,ok,Kaspi local angle
blog_092,92,kak-ai-pomogaet-postavshchikam-sng,localization / international sellers,informational,P2,drop,DROP,"ru,en",no,0,blog,low_cis_priority,Overlap #6
blog_093,93,kontent-dlya-mezhdunarodnyh-klientov,localization / international sellers,how-to,P2,later,P2,"ru,en",no,850,blog,low_cis_priority,B2B export
blog_094,94,kak-napisat-prompt-dlya-tovarnogo-foto,AI prompt / advanced,how-to,P0,write_now,WAVE2,"ru,en",no,1050,blog,ok,Prompt — Wave 2
blog_095,95,kak-uluchshit-prompt-dlya-ai-video,AI prompt / advanced,how-to,P2,later,P2,"ru,en",no,850,blog,ok,After video ships
blog_096,96,kak-opisat-model-dlya-odezhdy,AI prompt / advanced,how-to,P1,write_now,WAVE2,"ru,en",no,1050,blog,ok,Model prompt — Wave 2
blog_097,97,ai-fon-bez-izmeneniya-tovara,AI prompt / advanced,how-to,P1,later,P1,"ru,en",later,950,blog,ok,Background accuracy
blog_099,99,kak-proverit-chto-ai-ne-izmenil-tovar,AI prompt / advanced,how-to,P1,later,P1,"ru,en",later,950,blog,ok,Pairs #8
blog_100,100,kak-ispolzovat-vitrina-ai-dlya-kontent-plana,AI prompt / advanced,how-to,P2,later,P2,"ru,en",no,900,blog,ok,Onboarding not lead SEO
