"id","cluster","priority","intent","locale","title","primary_keyword","slug_or_route","recommended_page_type","target_audience","related_platforms","related_use_cases","index_policy","content_status","notes"
"blog_014","clothing / fashion","P1","commercial","ru","Фото футболки на AI-модели","фото футболки на ai-модели","/ru/blog/topic-014","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Shopify","clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_014","clothing / fashion","P1","commercial","en","T-shirt photos on an AI model","t-shirt photos on an ai model","/en/blog/topic-014","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Shopify","clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_015","clothing / fashion","P1","commercial","ru","Фото костюма на AI-модели","фото костюма на ai-модели","/ru/blog/topic-015","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Ozon","clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_015","clothing / fashion","P1","commercial","en","Suit photos on an AI model","suit photos on an ai model","/en/blog/topic-015","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Ozon","clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_016","clothing / fashion","P0","commercial","ru","Фото белья на AI-модели","фото белья на ai-модели","/ru/blog/topic-016","landing/use-case page","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Ozon; Shopify","lingerie-on-ai-model","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_016","clothing / fashion","P0","commercial","en","Lingerie photos on an AI model","lingerie photos on an ai model","/en/blog/topic-016","landing/use-case page","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Ozon; Shopify","lingerie-on-ai-model","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_017","clothing / fashion","P1","commercial","ru","Фото plus-size модели для одежды","фото plus-size модели для одежды","/ru/blog/topic-017","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Instagram Shop","plus-size-model-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_017","clothing / fashion","P1","commercial","en","Plus-size model photos for clothing","plus-size model photos for clothing","/en/blog/topic-017","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Instagram Shop","plus-size-model-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_018","clothing / fashion","P1","how-to","ru","Как выбрать позу AI-модели","как выбрать позу ai-модели","/ru/blog/topic-018","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify","clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_018","clothing / fashion","P1","how-to","en","How to choose an AI model pose","how to choose an ai model pose","/en/blog/topic-018","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify","clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_019","clothing / fashion","P1","how-to","ru","Как сделать каталог одежды без фотосессии","как сделать каталог одежды без фотосессии","/ru/blog/topic-019","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Wildberries","ecommerce-catalog-photos; clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_019","clothing / fashion","P1","how-to","en","How to create a clothing catalog without a photoshoot","how to create a clothing catalog without a photoshoot","/en/blog/topic-019","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Wildberries","ecommerce-catalog-photos; clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_020","clothing / fashion","P1","how-to","ru","Как подготовить фото одежды для AI-примерки","как подготовить фото одежды для ai-примерки","/ru/blog/topic-020","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Ozon","clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_020","clothing / fashion","P1","how-to","en","How to prepare clothing photos for AI try-on","how to prepare clothing photos for ai try-on","/en/blog/topic-020","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Ozon","clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_021","accessories / jewelry","P0","how-to","ru","Как сделать фото бижутерии для маркетплейса","как сделать фото бижутерии для маркетплейса","/ru/blog/topic-021","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Etsy; eBay","jewelry-product-photos","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_021","accessories / jewelry","P0","how-to","en","How to create jewelry product photos for a marketplace","how to create jewelry product photos for a marketplace","/en/blog/topic-021","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Etsy; eBay","jewelry-product-photos","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_022","accessories / jewelry","P1","how-to","ru","Как сфотографировать серьги для карточки товара","как сфотографировать серьги для карточки товара","/ru/blog/topic-022","blog","marketplace sellers; instagram shops; small ecommerce teams","Etsy; Kaspi","jewelry-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_022","accessories / jewelry","P1","how-to","en","How to photograph earrings for a product card","how to photograph earrings for a product card","/en/blog/topic-022","blog","marketplace sellers; instagram shops; small ecommerce teams","Etsy; Kaspi","jewelry-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_023","accessories / jewelry","P1","how-to","ru","Как сделать фото кольца на белом фоне","как сделать фото кольца на белом фоне","/ru/blog/topic-023","blog","marketplace sellers; instagram shops; small ecommerce teams","Etsy; eBay","jewelry-product-photos; marketplace-white-background","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_023","accessories / jewelry","P1","how-to","en","How to make ring photos on a white background","how to make ring photos on a white background","/en/blog/topic-023","blog","marketplace sellers; instagram shops; small ecommerce teams","Etsy; eBay","jewelry-product-photos; marketplace-white-background","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_024","accessories / jewelry","P1","how-to","ru","Как сделать фото браслета для каталога","как сделать фото браслета для каталога","/ru/blog/topic-024","blog","marketplace sellers; instagram shops; small ecommerce teams","Etsy; Shopify","jewelry-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_024","accessories / jewelry","P1","how-to","en","How to make bracelet photos for a catalog","how to make bracelet photos for a catalog","/en/blog/topic-024","blog","marketplace sellers; instagram shops; small ecommerce teams","Etsy; Shopify","jewelry-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_025","accessories / jewelry","P1","how-to","ru","Как убрать лишний фон у аксессуаров","как убрать лишний фон у аксессуаров","/ru/blog/topic-025","blog","marketplace sellers; instagram shops; small ecommerce teams","Etsy; Instagram Shop","product-photo-cleanup","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_025","accessories / jewelry","P1","how-to","en","How to remove distracting backgrounds from accessories","how to remove distracting backgrounds from accessories","/en/blog/topic-025","blog","marketplace sellers; instagram shops; small ecommerce teams","Etsy; Instagram Shop","product-photo-cleanup","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_026","accessories / jewelry","P1","informational","ru","Почему AI меняет украшения и как это контролировать","почему ai меняет украшения и как это контролировать","/ru/blog/topic-026","blog","marketplace sellers; instagram shops; small ecommerce teams","Etsy; eBay","jewelry-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_026","accessories / jewelry","P1","informational","en","Why AI changes jewelry and how to control it","why ai changes jewelry and how to control it","/en/blog/topic-026","blog","marketplace sellers; instagram shops; small ecommerce teams","Etsy; eBay","jewelry-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_027","accessories / jewelry","P1","how-to","ru","Как сделать точную карточку товара для бижутерии","как сделать точную карточку товара для бижутерии","/ru/blog/topic-027","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Etsy","exact-product-card; jewelry-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_027","accessories / jewelry","P1","how-to","en","How to make an exact product card for jewelry","how to make an exact product card for jewelry","/en/blog/topic-027","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Etsy","exact-product-card; jewelry-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_028","accessories / jewelry","P1","how-to","ru","Как сделать lifestyle-фото украшений","как сделать lifestyle-фото украшений","/ru/blog/topic-028","blog","marketplace sellers; instagram shops; small ecommerce teams","Etsy; Instagram Shop","creative-product-scene; jewelry-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_028","accessories / jewelry","P1","how-to","en","How to create lifestyle jewelry photos","how to create lifestyle jewelry photos","/en/blog/topic-028","blog","marketplace sellers; instagram shops; small ecommerce teams","Etsy; Instagram Shop","creative-product-scene; jewelry-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_029","accessories / jewelry","P0","how-to","ru","Как подготовить фото сумки для маркетплейса","как подготовить фото сумки для маркетплейса","/ru/blog/topic-029","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Ozon","bags-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_029","accessories / jewelry","P0","how-to","en","How to prepare bag photos for a marketplace","how to prepare bag photos for a marketplace","/en/blog/topic-029","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Ozon","bags-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_030","accessories / jewelry","P0","how-to","ru","Как сделать фото обуви для карточки товара","как сделать фото обуви для карточки товара","/ru/blog/topic-030","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Amazon","shoes-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_030","accessories / jewelry","P0","how-to","en","How to create shoe photos for a product card","how to create shoe photos for a product card","/en/blog/topic-030","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Amazon","shoes-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_031","marketplaces","P0","platform","ru","Фото товаров для Kaspi","фото товаров для kaspi","/ru/blog/topic-031","platform page","marketplace sellers; instagram shops; small ecommerce teams","Kaspi","exact-product-card","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_031","marketplaces","P0","platform","en","Product photos for Kaspi","product photos for kaspi","/en/blog/topic-031","platform page","marketplace sellers; instagram shops; small ecommerce teams","Kaspi","exact-product-card","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_032","marketplaces","P0","platform","ru","Фото товаров для Wildberries","фото товаров для wildberries","/ru/blog/topic-032","platform page","marketplace sellers; instagram shops; small ecommerce teams","Wildberries","clothing-on-model; marketplace-white-background","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_032","marketplaces","P0","platform","en","Product photos for Wildberries","product photos for wildberries","/en/blog/topic-032","platform page","marketplace sellers; instagram shops; small ecommerce teams","Wildberries","clothing-on-model; marketplace-white-background","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_033","marketplaces","P0","platform","ru","Фото товаров для Ozon","фото товаров для ozon","/ru/blog/topic-033","platform page","marketplace sellers; instagram shops; small ecommerce teams","Ozon","exact-product-card; product-video-from-photo","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_033","marketplaces","P0","platform","en","Product photos for Ozon","product photos for ozon","/en/blog/topic-033","platform page","marketplace sellers; instagram shops; small ecommerce teams","Ozon","exact-product-card; product-video-from-photo","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_034","marketplaces","P0","platform","ru","Фото товаров для eBay","фото товаров для ebay","/ru/blog/topic-034","platform page","marketplace sellers; instagram shops; small ecommerce teams","eBay","marketplace-white-background","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_034","marketplaces","P0","platform","en","Product photos for eBay","product photos for ebay","/en/blog/topic-034","platform page","marketplace sellers; instagram shops; small ecommerce teams","eBay","marketplace-white-background","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_035","marketplaces","P0","platform","ru","Фото товаров для Amazon","фото товаров для amazon","/ru/blog/topic-035","platform page","marketplace sellers; instagram shops; small ecommerce teams","Amazon","marketplace-white-background","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_035","marketplaces","P0","platform","en","Product photos for Amazon","product photos for amazon","/en/blog/topic-035","platform page","marketplace sellers; instagram shops; small ecommerce teams","Amazon","marketplace-white-background","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_036","marketplaces","P0","platform","ru","Фото товаров для Etsy","фото товаров для etsy","/ru/blog/topic-036","platform page","marketplace sellers; instagram shops; small ecommerce teams","Etsy","jewelry-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_036","marketplaces","P0","platform","en","Product photos for Etsy","product photos for etsy","/en/blog/topic-036","platform page","marketplace sellers; instagram shops; small ecommerce teams","Etsy","jewelry-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_037","marketplaces","P1","platform","ru","Фото товаров для Shopify","фото товаров для shopify","/ru/blog/topic-037","platform page","marketplace sellers; instagram shops; small ecommerce teams","Shopify","ecommerce-catalog-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_037","marketplaces","P1","platform","en","Product photos for Shopify","product photos for shopify","/en/blog/topic-037","platform page","marketplace sellers; instagram shops; small ecommerce teams","Shopify","ecommerce-catalog-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_038","marketplaces","P1","platform","ru","Фото товаров для Instagram Shop","фото товаров для instagram shop","/ru/blog/topic-038","platform page","marketplace sellers; instagram shops; small ecommerce teams","Instagram Shop","instagram-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_038","marketplaces","P1","platform","en","Product photos for Instagram Shop","product photos for instagram shop","/en/blog/topic-038","platform page","marketplace sellers; instagram shops; small ecommerce teams","Instagram Shop","instagram-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_039","marketplaces","P1","platform","ru","Фото товаров для TikTok Shop","фото товаров для tiktok shop","/ru/blog/topic-039","platform page","marketplace sellers; instagram shops; small ecommerce teams","TikTok Shop","reels-from-product-image","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_039","marketplaces","P1","platform","en","Product photos for TikTok Shop","product photos for tiktok shop","/en/blog/topic-039","platform page","marketplace sellers; instagram shops; small ecommerce teams","TikTok Shop","reels-from-product-image","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_040","marketplaces","P1","platform","ru","Фото товаров для Facebook Marketplace","фото товаров для facebook marketplace","/ru/blog/topic-040","platform page","marketplace sellers; instagram shops; small ecommerce teams","Facebook Marketplace","small-business-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_040","marketplaces","P1","platform","en","Product photos for Facebook Marketplace","product photos for facebook marketplace","/en/blog/topic-040","platform page","marketplace sellers; instagram shops; small ecommerce teams","Facebook Marketplace","small-business-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_041","marketplaces","P1","platform","ru","Фото товаров для OLX","фото товаров для olx","/ru/blog/topic-041","platform page","marketplace sellers; instagram shops; small ecommerce teams","OLX","small-business-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_041","marketplaces","P1","platform","en","Product photos for OLX","product photos for olx","/en/blog/topic-041","platform page","marketplace sellers; instagram shops; small ecommerce teams","OLX","small-business-product-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_042","marketplaces","P1","platform","ru","Фото товаров для AliExpress","фото товаров для aliexpress","/ru/blog/topic-042","platform page","marketplace sellers; instagram shops; small ecommerce teams","AliExpress","supplier-catalog-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_042","marketplaces","P1","platform","en","Product photos for AliExpress","product photos for aliexpress","/en/blog/topic-042","platform page","marketplace sellers; instagram shops; small ecommerce teams","AliExpress","supplier-catalog-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_043","marketplaces","P1","platform","ru","Фото товаров для Temu","фото товаров для temu","/ru/blog/topic-043","platform page","marketplace sellers; instagram shops; small ecommerce teams","Temu","supplier-catalog-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_043","marketplaces","P1","platform","en","Product photos for Temu","product photos for temu","/en/blog/topic-043","platform page","marketplace sellers; instagram shops; small ecommerce teams","Temu","supplier-catalog-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_044","formats and social","P1","how-to","ru","Формат 1:1 для карточки товара","формат 1:1 для карточки товара","/ru/blog/topic-044","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon","exact-product-card","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_044","formats and social","P1","how-to","en","1:1 format for product cards","1:1 format for product cards","/en/blog/topic-044","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon","exact-product-card","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_045","formats and social","P1","how-to","ru","Формат 4:5 для маркетплейса","формат 4:5 для маркетплейса","/ru/blog/topic-045","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Ozon","exact-product-card","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_045","formats and social","P1","how-to","en","4:5 format for marketplaces","4:5 format for marketplaces","/en/blog/topic-045","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Ozon","exact-product-card","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_046","formats and social","P1","how-to","ru","Формат 9:16 для Reels и Stories","формат 9:16 для reels и stories","/ru/blog/topic-046","blog","marketplace sellers; instagram shops; small ecommerce teams","Instagram Shop; TikTok Shop","reels-from-product-image","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_046","formats and social","P1","how-to","en","9:16 format for Reels and Stories","9:16 format for reels and stories","/en/blog/topic-046","blog","marketplace sellers; instagram shops; small ecommerce teams","Instagram Shop; TikTok Shop","reels-from-product-image","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_047","formats and social","P0","how-to","ru","Как сделать Reels из фото товара","как сделать reels из фото товара","/ru/blog/topic-047","blog","marketplace sellers; instagram shops; small ecommerce teams","Instagram Shop","reels-from-product-image","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_047","formats and social","P0","how-to","en","How to make Reels from a product photo","how to make reels from a product photo","/en/blog/topic-047","blog","marketplace sellers; instagram shops; small ecommerce teams","Instagram Shop","reels-from-product-image","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_048","formats and social","P0","how-to","ru","Как сделать видео товара из фотографии","как сделать видео товара из фотографии","/ru/blog/topic-048","blog","marketplace sellers; instagram shops; small ecommerce teams","Ozon; Shopify; TikTok Shop","product-video-from-photo","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_048","formats and social","P0","how-to","en","How to create a product video from a photo","how to create a product video from a photo","/en/blog/topic-048","blog","marketplace sellers; instagram shops; small ecommerce teams","Ozon; Shopify; TikTok Shop","product-video-from-photo","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
