"type","id","name_ru","name_en","slug_ru","slug_en","index_locales","noindex_locales","related_platforms","related_use_cases","disclaimer_required","notes"
"use-case","jewelry-product-photos","фото бижутерии для маркетплейса","jewelry product photos","/ru/use-cases/foto-bizhuterii","/en/use-cases/jewelry-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Etsy; Kaspi; eBay","","yes","AI limitations and manual review copy visible on detail page."
"use-case","shoes-product-photos","фото обуви для карточки товара","shoes product photos","/ru/use-cases/foto-obuvi","/en/use-cases/shoes-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Kaspi; Wildberries; Amazon","","yes","AI limitations and manual review copy visible on detail page."
"use-case","bags-product-photos","фото сумок для маркетплейса","bags product photos","/ru/use-cases/foto-sumok","/en/use-cases/bags-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Etsy; Ozon; Instagram Shop","","yes","AI limitations and manual review copy visible on detail page."
"use-case","cosmetics-product-photos","фото косметики для каталога","cosmetics product photos","/ru/use-cases/foto-kosmetiki","/en/use-cases/cosmetics-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Shopify; Instagram Shop; Amazon","","yes","AI limitations and manual review copy visible on detail page."
"use-case","marketplace-white-background","белый фон для маркетплейса","marketplace white background","/ru/use-cases/belyy-fon-dlya-marketpleysa","/en/use-cases/marketplace-white-background","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Kaspi; Amazon; eBay; Ozon","","yes","AI limitations and manual review copy visible on detail page."
"use-case","instagram-product-photos","фото товара для Instagram","Instagram product photos","/ru/use-cases/foto-tovara-dlya-instagram","/en/use-cases/instagram-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Instagram Shop; Facebook Marketplace","","yes","AI limitations and manual review copy visible on detail page."
"use-case","product-video-from-photo","видео товара из фото","product video from photo","/ru/use-cases/video-tovara-iz-foto","/en/use-cases/product-video-from-photo","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Ozon; Shopify; TikTok Shop","","yes","AI limitations and manual review copy visible on detail page."
"use-case","reels-from-product-image","Reels из фото товара","Reels from product image","/ru/use-cases/reels-iz-foto-tovara","/en/use-cases/reels-from-product-image","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Instagram Shop; TikTok Shop","","yes","AI limitations and manual review copy visible on detail page."
"use-case","ai-background-replacement","AI-замена фона у товара","AI background replacement","/ru/use-cases/ai-zamena-fona","/en/use-cases/ai-background-replacement","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Shopify; Etsy; Instagram Shop","","yes","AI limitations and manual review copy visible on detail page."
"use-case","product-photo-cleanup","очистка товарного фото","product photo cleanup","/ru/use-cases/ochistka-tovarnogo-foto","/en/use-cases/product-photo-cleanup","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","OLX; Facebook Marketplace; Kaspi","","yes","AI limitations and manual review copy visible on detail page."
"use-case","exact-product-card","точная товарная карточка","exact product card","/ru/use-cases/tochnaya-tovarnaya-kartochka","/en/use-cases/exact-product-card","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Kaspi; Wildberries; Ozon; Amazon","","yes","AI limitations and manual review copy visible on detail page."
"use-case","creative-product-scene","креативная сцена товара","creative product scene","/ru/use-cases/kreativnaya-scena-tovara","/en/use-cases/creative-product-scene","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Etsy; Instagram Shop; Shopify","","yes","AI limitations and manual review copy visible on detail page."
"use-case","ecommerce-catalog-photos","фото для ecommerce каталога","ecommerce catalog photos","/ru/use-cases/foto-dlya-ecommerce-kataloga","/en/use-cases/ecommerce-catalog-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Shopify; Amazon; AliExpress","","yes","AI limitations and manual review copy visible on detail page."
"use-case","supplier-catalog-photos","каталог поставщика","supplier catalog photos","/ru/use-cases/foto-kataloga-postavshchika","/en/use-cases/supplier-catalog-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","AliExpress; Temu; Shopify","","yes","AI limitations and manual review copy visible on detail page."
"use-case","showroom-product-photos","фото товаров шоурума","showroom product photos","/ru/use-cases/foto-tovarov-shouruma","/en/use-cases/showroom-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Instagram Shop; Shopify","","yes","AI limitations and manual review copy visible on detail page."
"use-case","small-business-product-photos","товарные фото для малого бизнеса","small business product photos","/ru/use-cases/tovarnye-foto-dlya-malogo-biznesa","/en/use-cases/small-business-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","OLX; Facebook Marketplace; Instagram Shop","","yes","AI limitations and manual review copy visible on detail page."
"use-case","marketplace-content-manager-workflow","workflow контент-менеджера маркетплейса","marketplace content manager workflow","/ru/use-cases/workflow-kontent-menedzhera","/en/use-cases/marketplace-content-manager-workflow","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Kaspi; Wildberries; Ozon","","yes","AI limitations and manual review copy visible on detail page."
